scientificName,decimalLatitude,decimalLongitude,year,minimumDepthInMeters,maximumDepthInMeters,aphiaID
Acanthephyra acanthitelsonis,27,-86,multiple decades,0,1000,240809
Acanthephyra acanthitelsonis,27,-86,multiple decades,0,1000,240809
Acanthephyra acanthitelsonis,27,-86,multiple decades,0,1000,240809
Acanthephyra acanthitelsonis,27,-86,multiple decades,0,1000,240809
