decimalLatitude,decimalLongitude,maximumDepthInMeters,minimumDepthInMeters,scientificName,year,id,depth,aphiaID
-5,9,3147,3147,Acanthephyra acanthitelsonis,2004,003b878f-30e6-4973-b653-da45080ff12d,3147,240809
20.525850296,-22.6475000381,1000,0,Acanthephyra acanthitelsonis,1969,0151e028-1091-4442-aec9-bec8b2482d73,500,240809
-7,10,3996,3996,Acanthephyra acanthitelsonis,2003,01a35282-cca8-4e18-aba9-7277269d35a5,3996,240809
8.96700000763,-53.1669998169,0,475,Acanthephyra acanthitelsonis,1973,032dd291-d8f9-4d88-b1fa-fbebcb221fe0,237.5,240809
17.8275003433,-25.4324998856,1020,910,Acanthephyra acanthitelsonis,1969,03314e4d-9ef9-4659-9d64-77046d904d67,965,240809
27.7368030548,-88.2854156494,4000,1000,Acanthephyra acanthitelsonis,NA,04ae5969-b600-46e2-aca7-67dea3f64cd8,2500,240809
-25.6545,6.1631,940,926,Acanthephyra acanthitelsonis,2008,05336977-11bf-4fb6-b290-dd2d6d41ff8b,933,240809
-4.084,-12.4196666666667,3342,3342,Acanthephyra acanthitelsonis,NA,079d0166-c2fe-42ad-9088-578eff6a6cb0,3342,240809
-26.1839,5.4054,997,974,Acanthephyra acanthitelsonis,2008,091431f2-6cdc-4f9d-81a7-191c5be3dcdc,985.5,240809
27.6920986176,-91.7559509277,4000,1000,Acanthephyra acanthitelsonis,NA,0abb0551-fa37-40a7-87eb-ae75b53ebaaa,2500,240809
17.7558507919,-25.1875,1250,1000,Acanthephyra acanthitelsonis,1972,0db21763-b98f-4fa4-9f8c-29b5ee3b1385,1125,240809
19.0183496475,-25.0699996948,1000,0,Acanthephyra acanthitelsonis,1969,0ebbf0fa-7ddd-4c23-9e4e-073493dced9f,500,240809
-10.1366666667,97.2483333333,2400,200,Acanthephyra acanthitelsonis,NA,0ec227e3-190f-4074-9f0f-77be517538b7,1300,240809
-15.4670000076,3.06699991226,500,500,Acanthephyra acanthitelsonis,1971,0ee1fc12-ebc8-4cd6-96e6-234d2fd203b1,500,240809
-4.15779995918,-12.4050498009,1250,0,Acanthephyra acanthitelsonis,2009,0f994514-87df-4bb3-bea7-368d83baf375,625,240809
22.4503555298,-97.3125076294,4000,1000,Acanthephyra acanthitelsonis,NA,0fc15263-9972-491c-ae3d-ed506f67665d,2500,240809
-21.0333,12.35,607,607,Acanthephyra acanthitelsonis,1981,0fe14f2d-2b85-4349-a0a9-048869033217,607,240809
19.2420463562,-93.5104827881,4000,1000,Acanthephyra acanthitelsonis,NA,10bb3544-57ed-4eb1-a587-ab0a86d1a134,2500,240809
-2.03333333333,8.78333333333,613,613,Acanthephyra acanthitelsonis,NA,1216b30a-bd85-4c33-9e0c-8504dc45dd11,613,240809
23.7812156677,-89.266784668,4000,1000,Acanthephyra acanthitelsonis,NA,124c2a86-1433-438c-bd92-b1ae242a386f,2500,240809
-27.2167,13.95,448,448,Acanthephyra acanthitelsonis,1982,12d90bc6-8e78-47f3-b6ac-a81ba57342ae,448,240809
-5,9,3142,3142,Acanthephyra acanthitelsonis,2003,13426995-2a6d-4145-8a29-b196c13d4d3f,3142,240809
10.8350000381,-19.8916492462,300,205,Acanthephyra acanthitelsonis,1968,166dd245-ce6d-475a-a498-7d52fe7ce860,252.5,240809
26.7991352081,-84.7157211304,4000,1000,Acanthephyra acanthitelsonis,NA,1784c2b2-7c34-4851-81e3-370a4b9a1f6c,2500,240809
26.7211151123,-84.9392242432,4000,1000,Acanthephyra acanthitelsonis,NA,19f64040-47c9-4953-8ad0-d29f90a385a5,2500,240809
17.7849998474,-25.2624998093,700,610,Acanthephyra acanthitelsonis,1969,1b2c2dd3-fd18-40df-ba13-2fa76e9f44c6,655,240809
0.40000000596,-27.533000946,300,300,Acanthephyra acanthitelsonis,1963,1cda09b9-cb76-40d3-a710-a9081db5ce29,300,240809
8.94999980927,-46.483001709,0,485,Acanthephyra acanthitelsonis,1973,1e96fb15-54bb-4e18-b46d-f6e5453aba1f,242.5,240809
25.7038993835,-90.4661331177,4000,1000,Acanthephyra acanthitelsonis,NA,1febe5c8-6fd1-4c1b-b215-9ed7021d64bd,2500,240809
-14.1330003738,5.81699991226,360,350,Acanthephyra acanthitelsonis,1971,2051433d-3f85-4bb0-bcd9-be5217ef9df5,355,240809
-1.33299994469,-27.6170005798,1100,1100,Acanthephyra acanthitelsonis,1963,2095a678-e60b-4894-8520-0419e18b85f0,1100,240809
11.088350296,-19.7716503143,800,715,Acanthephyra acanthitelsonis,1968,21570e55-0e85-4918-97f9-73059a237ad6,757.5,240809
0.438333333333,-6.53333333333,NA,NA,Acanthephyra acanthitelsonis,1970,22ee6fa5-0ec1-4589-9285-b3c4c0c5d721,NA,240809
0.43,7.005,2000,200,Acanthephyra acanthitelsonis,NA,238bce69-b480-4c40-a68c-c83a2c00426c,1100,240809
15.6708498001,-26.5608501434,1000,20,Acanthephyra acanthitelsonis,1972,24a286d9-8ce2-46dc-af63-79bc099fa200,510,240809
7.48299980164,-45.733001709,53,50,Acanthephyra acanthitelsonis,1966,28f8b5f0-e377-4723-8eca-fbfb39d74868,51.5,240809
